Domestic by Dep. Port,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop
Viewrow,191,60,24.3,33.4,1995.3,1993.0,1995.0,1995.5,95.6,177.1,177.3,184.0,34.0,79.0,98.0,95.0,20.0,47.4,84.1,85.6,52.9,33.3,19.6,3973.2,2499.1,1474.1,4049.5,2547.1,1502.4
Hamburg-Mitte,184,88,303.3,297.3,1999.6,1996.5,2005.9,2006.2,129.7,165.7,132.8,131.0,23.5,43.6,28.7,27.5,20.0,44.2,32.9,32.0,136.1,88.5,47.6,10271.7,6697.5,3574.2,10468.9,6826.0,3642.8
Mittelsburen,183,111,70.8,101.4,1994.7,1999.4,2005.0,2006.1,116.0,166.7,116.5,113.2,28.0,77.3,69.3,50.7,22.0,90.5,86.8,81.1,64.0,37.8,26.1,4805.2,2842.7,1962.6,4897.5,2897.2,2000.3
Glueckstadt,166,30,32.6,31.6,1993.6,1984.4,2009.8,2009.4,83.9,161.3,342.4,340.9,13.0,42.7,115.5,112.4,14.5,34.8,96.5,95.8,29.3,17.7,11.7,2117.9,1282.1,835.8,2158.5,1306.7,851.9
Neuendorf-Hiddensee,166,34,70.1,46.9,2002.1,1995.3,2009.7,2008.5,147.9,204.3,181.8,180.0,32.5,58.0,251.0,260.8,17.0,36.1,36.2,34.4,71.7,43.3,28.4,5380.0,3248.0,2132.0,5483.3,3310.4,2172.9
Norderney,165,48,67.0,43.2,1997.3,1997.0,2008.7,2009.4,196.2,518.4,174.9,161.3,54.0,176.4,202.1,147.9,35.0,125.6,121.9,138.2,117.7,70.7,47.0,8840.1,5308.2,3531.9,9009.8,5410.1,3599.8
Baltrum,157,141,872.9,779.1,2007.7,2007.3,2012.0,2012.3,86.1,120.2,90.9,88.4,11.0,22.5,32.3,23.9,33.0,46.4,48.3,54.0,159.2,65.5,93.7,12015.8,4919.1,7096.7,12246.5,5013.5,7232.9
Husum,155,43,48.0,42.3,1992.4,1989.1,1991.1,1990.9,123.7,953.1,209.8,157.7,21.0,164.7,175.4,124.8,16.0,148.9,226.9,65.2,47.2,31.1,16.1,3547.6,2338.6,1209.0,3615.7,2383.5,1232.2
Harlesiel,153,118,136.6,163.5,2001.4,2002.9,2007.8,2007.6,71.1,153.2,90.6,78.2,9.0,40.8,50.7,18.3,34.0,60.1,85.8,60.3,70.0,30.4,39.6,5259.2,2277.4,2981.7,5360.1,2321.1,3039.0
Amrum,151,63,37.4,12.0,1980.8,1979.8,1994.1,1992.9,164.0,376.4,425.3,281.1,28.0,58.5,265.9,169.4,56.0,79.2,277.6,178.4,88.2,37.9,50.3,6624.1,2844.4,3779.7,6751.3,2899.0,3852.3
Borkum,147,69,172.9,85.5,1995.9,1995.2,2000.4,2006.8,199.1,450.6,241.0,169.6,44.0,117.9,277.6,120.3,28.0,133.5,101.1,79.2,131.1,86.7,44.4,9720.9,6397.3,3323.6,9907.5,6520.1,3387.4
Wyk Auf Fohr,118,25,182.9,36.2,1997.3,1985.2,2006.0,2001.5,249.6,1327.4,1137.3,929.4,62.0,338.0,1344.7,1470.6,6.0,143.5,20.2,54.3,171.3,155.7,15.6,12863.4,11694.0,1169.4,13110.4,11918.5,1191.9
Ellerbek,116,73,99.6,112.4,2001.0,2000.2,2006.6,2007.3,111.0,150.3,132.0,127.2,17.0,31.9,33.1,26.4,18.0,34.6,24.3,22.3,52.7,30.4,22.3,3956.4,2282.7,1673.7,4032.4,2326.5,1705.9
Ostermoor,112,60,93.8,138.3,1998.6,2000.6,2003.3,2003.5,95.3,136.4,99.8,96.5,18.0,100.4,97.3,54.4,20.5,40.1,41.8,44.1,49.6,33.0,16.6,3726.8,2476.3,1250.5,3798.3,2523.9,1274.5
Wismar,110,65,46.9,45.9,1990.3,1989.2,1990.6,1997.3,178.1,287.4,198.8,189.6,35.0,146.6,130.9,86.8,20.5,46.9,44.3,40.4,67.2,51.3,15.9,5051.5,3854.3,1197.2,5148.5,3928.3,1220.2
Bremen,104,76,82.6,68.3,1994.9,1996.6,1996.3,2001.0,152.6,160.6,178.5,168.5,18.5,31.6,30.2,36.7,12.5,29.5,28.6,33.4,25.9,18.6,7.2,1949.6,1400.5,549.1,1987.0,1427.4,559.6
Travemunde,103,32,85.2,36.2,1999.9,1986.2,1993.8,1998.7,167.5,325.0,164.6,168.8,19.0,146.1,42.9,158.9,12.0,65.7,20.1,80.1,59.6,37.3,22.3,4479.9,2801.7,1678.2,4565.9,2855.5,1710.4
Norddeich,102,31,91.1,22.7,1993.9,1997.5,1998.7,1996.2,183.8,1504.4,2818.8,1577.3,77.5,1049.6,3537.8,3453.0,28.5,77.3,99.9,92.8,300.2,283.2,16.9,22536.1,21265.1,1271.1,22968.8,21673.4,1295.5
Burgstaaken,95,23,16.4,19.0,1981.4,1987.6,1990.4,1987.4,110.3,464.9,147.9,222.8,18.0,31.2,56.4,90.9,16.0,88.5,173.1,372.1,42.1,13.7,28.4,3160.3,1030.5,2129.8,3221.0,1050.3,2170.7
Stralsund,93,41,23.7,27.6,1993.8,1989.3,1994.0,1990.0,167.2,342.3,225.4,234.5,33.0,76.0,180.5,237.7,23.0,54.0,40.6,45.3,38.4,30.2,8.2,2881.1,2265.1,616.0,2936.4,2308.6,627.8
Stadersand,88,35,122.1,162.9,1998.4,1999.5,1998.9,1997.9,96.6,174.3,563.5,594.9,27.0,50.4,131.5,128.4,11.0,19.7,72.7,76.6,49.0,35.4,13.6,3613.1,2605.5,1007.6,3682.5,2655.6,1026.9
Peenemunde,81,34,15.0,13.2,1995.3,1992.0,1992.2,1998.4,138.8,744.3,288.5,190.4,74.0,232.4,1962.1,380.8,20.0,63.9,365.2,145.1,52.8,38.3,14.4,3961.2,2879.0,1082.2,4037.3,2934.2,1103.0
Lemwerder,80,34,24.3,24.8,1987.8,1990.6,1999.6,2001.3,121.8,363.2,228.6,195.4,30.5,76.5,87.8,76.0,15.5,62.8,72.1,28.4,24.0,16.8,7.3,1803.1,1257.9,545.1,1837.7,1282.1,555.6
Neustadt,79,19,25.9,13.0,1992.2,1981.1,1998.3,1997.2,291.1,544.3,408.0,370.1,32.0,109.6,193.3,212.7,18.0,53.4,50.2,50.2,38.4,24.0,14.4,2882.2,1804.7,1077.5,2937.6,1839.3,1098.2
Heiligenhafen,78,30,16.7,12.3,1990.2,1985.6,1993.5,1994.4,214.9,289.3,321.2,234.5,38.5,48.5,335.3,139.5,19.0,55.8,36.6,41.5,34.0,28.5,5.4,2550.8,2141.8,408.9,2599.7,2183.0,416.8
Bensersiel,78,12,23.9,4.3,1976.6,1981.8,1980.0,1976.4,382.3,517.4,782.0,667.2,144.5,185.6,444.0,450.6,20.5,144.7,236.1,175.2,62.8,46.7,16.0,4712.7,3509.7,1202.9,4803.2,3577.1,1226.0
Obereiderhafen,74,49,14.1,15.8,1979.8,1984.7,1994.2,1995.7,104.7,132.5,139.9,130.3,18.5,31.9,38.2,32.0,18.0,46.1,33.7,32.7,11.4,8.9,2.5,858.5,668.0,190.5,875.0,680.8,194.1
Lubeck,69,51,28.1,37.5,1998.0,1997.7,2003.6,2003.6,75.6,119.7,88.1,87.9,14.0,22.1,39.6,48.0,27.0,42.6,46.1,52.4,15.5,9.5,6.0,1161.5,713.2,448.3,1183.8,726.9,456.9
Eckernfoerde,65,43,41.4,33.8,1985.3,1989.7,1993.4,1999.3,136.7,156.7,129.8,125.3,25.0,38.9,33.7,45.4,28.0,84.8,42.8,61.5,39.8,17.7,22.2,2991.7,1327.3,1664.4,3049.1,1352.8,1696.3
Wischhafen,63,3,1.8,2.6,1955.9,1955.0,1955.2,1952.8,75.5,91.6,89.1,90.5,10.0,27.3,24.7,22.8,17.0,18.0,28.1,28.9,2.5,1.9,0.6,188.9,140.8,48.1,192.5,143.5,49.1
Papenburg,62,47,31.6,45.0,1998.2,2000.0,2002.1,2001.8,204.3,223.4,245.1,247.2,28.0,48.2,61.7,60.0,24.5,44.8,56.5,54.8,19.4,13.1,6.3,1454.4,980.9,473.6,1482.4,999.7,482.7
Binz,58,31,45.1,45.0,1997.7,1996.4,2006.5,2005.1,147.2,194.2,197.9,176.3,30.5,44.5,57.4,73.3,22.0,114.6,78.9,106.7,29.0,13.0,16.1,2171.0,968.8,1202.2,2212.6,987.4,1225.3
Juist,57,30,44.4,42.1,1995.1,1992.1,2005.9,2007.0,150.3,306.1,112.2,112.3,28.0,56.2,39.1,23.8,28.0,79.2,46.2,44.1,30.6,14.9,15.6,2297.6,1122.2,1175.5,2341.8,1143.7,1198.0
Blumenthal,55,32,13.7,16.1,1988.6,1988.7,1987.7,1985.6,141.8,212.9,285.1,289.1,31.0,73.2,153.5,176.8,15.0,46.4,44.8,31.2,14.3,8.9,5.4,1073.7,668.3,405.3,1094.3,681.2,413.1
