alpha-3,country-code,Inventory,n_vys,n_imo,tps_mn_gtnm,tps_mn_dwtnm,aby_vys,aby_flt,aby_gtnm,aby_dwtnm,avd_vys,avd_flt,avd_gtnm,avd_dwtnm,avt_vys,avt_flt,avt_gtnm,avt_dwtnm,apt_vys,apt_flt,apt_gtnm,apt_dwtnm,ene_tj,ene_tj_voy,ene_tj_stop,co2_t,co2_t_voy,co2_t_stop,co2e_t,co2e_t_voy,co2e_t_stop,ene_tj_pc,ene_tj_voy_pc,ene_tj_stop_pc,co2e_t_pc,co2e_t_voy_pc,co2e_t_stop_pc
TUR,792,Int. Dep. Inventory,41998.0,7648.0,1013881.2,1541348.3,1999.3,2003.8,2007.5,2007.9,495.7,1237.2,1307.1,1385.7,60.0,134.3,319.3,354.5,34.0,75.8,71.5,76.3,128967.5,105548.3,23419.2,9914102.6,8119779.5,1794323.1,10104453.3,8275679.3,1828774.1,1.3716496817720623,1.2980540939520737,1.8424458320516282,1.3857568253980919,1.3123430446233142,1.8554628983499646
TUR,792,Domestic Inventory,41067.0,5255.0,155690.2,223914.1,1997.9,2002.3,2005.1,2005.3,152.4,286.3,275.0,280.5,21.0,52.0,125.6,111.7,18.0,52.5,52.0,51.3,36072.7,22689.9,13382.8,2761578.8,1741017.4,1020561.3,2814601.1,1774445.0,1040156.1,0.38365563010571707,0.2790449262220534,1.0528576587236338,0.3860033362812392,0.28138844793280193,1.0553359499362964
NZL,554,All Global Voyages,2739872.0,58539.0,81475141.7,114361946.3,2002.6,2002.5,2008.8,2009.1,358.8,1354.1,1507.6,1784.2,41.0,231.2,403.1,445.6,19.0,89.0,69.9,77.7,9402364.3,8131271.3,1271093.0,715428735.4,618723859.3,96704876.1,729164967.1,630603357.4,98561609.7,100.0,100.0,100.0,100.0,100.0,100.0
NZL,554,All International Voyages,1244079.0,43111.0,72080717.8,102661963.7,2003.7,2003.9,2009.1,2009.4,663.1,1807.6,2057.2,2437.2,67.0,235.5,428.7,472.1,22.0,85.3,69.1,76.9,7421794.7,6689478.0,732316.7,564552047.5,508802890.5,55749157.0,575391446.8,518571906.0,56819540.9,78.93540883115962,82.26853776235458,57.613148683849246,78.91101091820406,82.23424438114164,57.64875499999063
NZL,554,All Domestic Voyages,1495793.0,55373.0,9394423.9,11699982.6,2001.6,2002.7,2006.1,2006.6,222.5,777.4,494.4,532.4,27.0,173.3,206.5,213.1,17.0,86.5,76.1,84.0,1980569.6,1441793.3,538776.3,150876687.9,109920968.8,40955719.1,153773520.3,112031451.4,41742068.9,21.064591168840373,17.731462237645424,42.38685131615075,21.088989081795948,17.765755618858368,42.35124510146875
NZL,554,Int. Arr. Inventory,2379.0,990.0,265455.7,320812.9,2007.8,2008.6,2007.9,2008.6,1752.7,3872.2,3284.2,3655.3,148.0,332.9,382.0,421.5,28.0,82.3,53.0,62.4,31841.7,30596.8,1244.9,2461837.6,2366310.3,95527.3,2509104.9,2411743.5,97361.4,0.33865631009425995,0.3762855631197547,0.09793933252720297,0.34410661691264344,0.3824501521754822,0.0987822746567825
NZL,554,Int. Dep. Inventory,2338.0,969.0,309660.1,376101.8,2007.7,2008.5,2008.0,2008.7,5010.1,4566.3,3901.5,4359.8,308.5,388.8,397.0,439.6,23.0,82.8,56.6,65.7,39104.3,37724.1,1380.3,3023108.0,2917047.7,106060.2,3081151.7,2973055.1,108096.6,0.4158985841465428,0.4639385233647289,0.10859158220523596,0.4225589323434187,0.47146198400497136,0.10967414222334887
NZL,554,Domestic Inventory,6083.0,736.0,64871.9,63108.3,2006.4,2008.4,2006.8,2008.8,295.8,537.3,372.4,391.8,26.0,71.4,98.8,75.9,20.0,60.3,66.4,52.5,12114.7,9609.8,2504.9,932435.4,740526.2,191909.2,950338.1,754744.3,195593.9,0.12884737937669571,0.11818324153075546,0.1970666190436105,0.13033238606890826,0.1196860579860909,0.19844836198936391
GMB,270,All Global Voyages,2739872.0,58539.0,81475141.7,114361946.3,2002.6,2002.5,2008.8,2009.1,358.8,1354.1,1507.6,1784.2,41.0,231.2,403.1,445.6,19.0,89.0,69.9,77.7,9402364.3,8131271.3,1271093.0,715428735.4,618723859.3,96704876.1,729164967.1,630603357.4,98561609.7,100.0,100.0,100.0,100.0,100.0,100.0
GMB,270,All International Voyages,1244079.0,43111.0,72080717.8,102661963.7,2003.7,2003.9,2009.1,2009.4,663.1,1807.6,2057.2,2437.2,67.0,235.5,428.7,472.1,22.0,85.3,69.1,76.9,7421794.7,6689478.0,732316.7,564552047.5,508802890.5,55749157.0,575391446.8,518571906.0,56819540.9,78.93540883115962,82.26853776235458,57.613148683849246,78.91101091820406,82.23424438114164,57.64875499999063
GMB,270,All Domestic Voyages,1495793.0,55373.0,9394423.9,11699982.6,2001.6,2002.7,2006.1,2006.6,222.5,777.4,494.4,532.4,27.0,173.3,206.5,213.1,17.0,86.5,76.1,84.0,1980569.6,1441793.3,538776.3,150876687.9,109920968.8,40955719.1,153773520.3,112031451.4,41742068.9,21.064591168840373,17.731462237645424,42.38685131615075,21.088989081795948,17.765755618858368,42.35124510146875
GMB,270,Int. Arr. Inventory,294.0,139.0,4193.3,5007.0,2001.3,2003.3,2003.2,2003.3,738.6,1055.2,896.1,867.6,83.0,157.2,171.6,193.4,97.5,132.7,126.0,135.6,1084.6,750.4,334.1,83034.3,57732.0,25302.4,84628.6,58840.4,25788.2,0.011535396474693071,0.009228569215246821,0.02628446541677124,0.011606235052210588,0.009330809820391864,0.026164548325147738
GMB,270,Int. Dep. Inventory,291.0,137.0,6739.6,8535.8,2001.5,2003.4,2003.9,2004.0,1213.1,1429.2,1438.8,1492.0,125.0,179.5,184.9,192.1,36.0,78.1,67.6,74.2,1099.2,907.8,191.5,84421.6,69883.3,14538.3,86042.5,71225.1,14817.4,0.0116906765673821,0.01116430588166453,0.01506577410150162,0.011800141789889345,0.011294754327611515,0.015033642454806618
GMB,270,Domestic Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALA,248,All Global Voyages,2739872.0,58539.0,81475141.7,114361946.3,2002.6,2002.5,2008.8,2009.1,358.8,1354.1,1507.6,1784.2,41.0,231.2,403.1,445.6,19.0,89.0,69.9,77.7,9402364.3,8131271.3,1271093.0,715428735.4,618723859.3,96704876.1,729164967.1,630603357.4,98561609.7,100.0,100.0,100.0,100.0,100.0,100.0
ALA,248,All International Voyages,1244079.0,43111.0,72080717.8,102661963.7,2003.7,2003.9,2009.1,2009.4,663.1,1807.6,2057.2,2437.2,67.0,235.5,428.7,472.1,22.0,85.3,69.1,76.9,7421794.7,6689478.0,732316.7,564552047.5,508802890.5,55749157.0,575391446.8,518571906.0,56819540.9,78.93540883115962,82.26853776235458,57.613148683849246,78.91101091820406,82.23424438114164,57.64875499999063
